statistic_yyymm,district_code,site_id,village,birth_total,birth_total_m,birth_total_f,death_total,death_m,death_f,marry_pair,divorce_pair
統計年月,區域別代碼,區域別,村里,出生數,出生數-男,出生數-女,死亡數,死亡數-男,死亡數-女,結婚對數,離婚對數
10704,65000010001,新北市板橋區,留侯里,2,1,1,1,1,0,0,1
10704,65000010002,新北市板橋區,流芳里,0,0,0,1,1,0,2,0
10704,65000010003,新北市板橋區,赤松里,0,0,0,1,1,0,0,0
10704,65000010004,新北市板橋區,黃石里,1,1,0,1,1,0,1,0
10704,65000010005,新北市板橋區,挹秀里,1,0,1,1,0,1,2,0
10704,65000010006,新北市板橋區,湳興里,5,3,2,5,3,2,0,1
10704,65000010007,新北市板橋區,新興里,5,2,3,4,2,2,1,3
10704,65000010008,新北市板橋區,社後里,4,3,1,5,4,1,3,3
10704,65000010009,新北市板橋區,香社里,2,1,1,4,3,1,1,0
10704,65000010010,新北市板橋區,中正里,3,3,0,0,0,0,3,0
10704,65000010011,新北市板橋區,自強里,0,0,0,1,0,1,2,1
10704,65000010012,新北市板橋區,自立里,3,1,2,2,1,1,1,0
10704,65000010013,新北市板橋區,光華里,5,3,2,1,1,0,1,0
10704,65000010014,新北市板橋區,國光里,0,0,0,4,2,2,2,1
10704,65000010015,新北市板橋區,港尾里,2,0,2,1,1,0,0,2
10704,65000010016,新北市板橋區,金華里,2,2,0,3,1,2,3,1
10704,65000010017,新北市板橋區,港德里,4,0,4,0,0,0,1,0
10704,65000010018,新北市板橋區,民權里,1,0,1,1,1,0,1,2
10704,65000010019,新北市板橋區,建國里,1,1,0,2,0,2,4,1
10704,65000010020,新北市板橋區,漢生里,4,4,0,2,0,2,2,0
10704,65000010021,新北市板橋區,公舘里,4,0,4,5,2,3,0,0
10704,65000010022,新北市板橋區,新民里,2,1,1,1,1,0,1,1
10704,65000010023,新北市板橋區,幸福里,3,1,2,1,1,0,3,1
10704,65000010024,新北市板橋區,忠誠里,2,1,1,4,1,3,1,1
10704,65000010025,新北市板橋區,百壽里,2,2,0,0,0,0,0,0
10704,65000010026,新北市板橋區,介壽里,0,0,0,2,2,0,1,1
10704,65000010027,新北市板橋區,新埔里,1,1,0,0,0,0,0,0
10704,65000010028,新北市板橋區,華江里,2,1,1,2,1,1,5,1
10704,65000010029,新北市板橋區,江翠里,0,0,0,1,1,0,2,1
10704,65000010030,新北市板橋區,純翠里,4,0,4,1,1,0,1,1
10704,65000010031,新北市板橋區,溪頭里,5,2,3,3,2,1,4,2
10704,65000010032,新北市板橋區,聯翠里,0,0,0,1,1,0,4,2
10704,65000010033,新北市板橋區,宏翠里,6,4,2,1,0,1,1,1
10704,65000010034,新北市板橋區,仁翠里,1,1,0,1,1,0,0,1
10704,65000010035,新北市板橋區,新翠里,6,2,4,4,3,1,3,4
10704,65000010036,新北市板橋區,吉翠里,1,1,0,0,0,0,2,3
10704,65000010037,新北市板橋區,德翠里,4,3,1,1,1,0,3,0
10704,65000010038,新北市板橋區,滿翠里,1,1,0,1,0,1,2,0
10704,65000010039,新北市板橋區,明翠里,4,3,1,4,3,1,2,2
10704,65000010040,新北市板橋區,松翠里,2,1,1,2,2,0,1,0
10704,65000010041,新北市板橋區,柏翠里,2,1,1,2,1,1,2,0
10704,65000010042,新北市板橋區,龍翠里,0,0,0,1,0,1,3,2
10704,65000010043,新北市板橋區,華翠里,0,0,0,0,0,0,2,0
10704,65000010044,新北市板橋區,忠翠里,7,4,3,2,1,1,2,1
10704,65000010045,新北市板橋區,嵐翠里,2,1,1,0,0,0,0,3
10704,65000010046,新北市板橋區,文翠里,3,3,0,4,3,1,1,0
10704,65000010047,新北市板橋區,青翠里,3,2,1,2,2,0,1,1
10704,65000010048,新北市板橋區,懷翠里,5,2,3,2,1,1,4,1
10704,65000010049,新北市板橋區,福翠里,1,0,1,2,1,1,1,0
10704,65000010050,新北市板橋區,港嘴里,1,0,1,3,3,0,4,1
10704,65000010051,新北市板橋區,振興里,1,1,0,1,1,0,3,1
10704,65000010052,新北市板橋區,振義里,2,1,1,2,2,0,1,0
10704,65000010053,新北市板橋區,光復里,4,2,2,1,1,0,2,0
10704,65000010054,新北市板橋區,埔墘里,6,3,3,3,2,1,1,2
10704,65000010055,新北市板橋區,長壽里,1,0,1,4,4,0,0,1
10704,65000010056,新北市板橋區,福壽里,1,1,0,1,1,0,3,2
10704,65000010057,新北市板橋區,海山里,8,4,4,2,1,1,5,4
10704,65000010058,新北市板橋區,九如里,1,0,1,0,0,0,0,1
10704,65000010059,新北市板橋區,玉光里,3,0,3,1,0,1,1,1
10704,65000010060,新北市板橋區,光仁里,1,0,1,3,1,2,1,1
10704,65000010061,新北市板橋區,埤墘里,6,2,4,0,0,0,1,2
10704,65000010062,新北市板橋區,永安里,3,1,2,1,0,1,3,1
10704,65000010063,新北市板橋區,雙玉里,3,3,0,0,0,0,1,0
10704,65000010064,新北市板橋區,廣新里,1,0,1,0,0,0,1,0
10704,65000010065,新北市板橋區,深丘里,5,3,2,2,1,1,2,0
10704,65000010066,新北市板橋區,香丘里,3,1,2,5,3,2,1,1
10704,65000010067,新北市板橋區,西安里,1,0,1,0,0,0,2,0
10704,65000010068,新北市板橋區,東丘里,5,3,2,3,2,1,2,4
10704,65000010069,新北市板橋區,長安里,4,1,3,1,1,0,3,0
10704,65000010070,新北市板橋區,福丘里,9,6,3,1,0,1,2,2
10704,65000010071,新北市板橋區,福祿里,1,1,0,0,0,0,2,0
10704,65000010072,新北市板橋區,民族里,4,0,4,2,1,1,1,1
10704,65000010073,新北市板橋區,國泰里,2,1,1,3,2,1,0,0
10704,65000010074,新北市板橋區,福德里,1,1,0,2,1,1,2,0
10704,65000010075,新北市板橋區,景星里,1,1,0,4,3,1,2,0
10704,65000010076,新北市板橋區,福星里,0,0,0,1,0,1,1,0
10704,65000010077,新北市板橋區,鄉雲里,0,0,0,2,2,0,4,0
10704,65000010078,新北市板橋區,廣德里,6,5,1,8,5,3,5,2
10704,65000010079,新北市板橋區,大豐里,1,0,1,2,2,0,4,2
10704,65000010080,新北市板橋區,重慶里,3,3,0,3,1,2,3,1
10704,65000010081,新北市板橋區,仁愛里,2,1,1,2,2,0,4,0
10704,65000010082,新北市板橋區,和平里,2,2,0,2,1,1,3,1
10704,65000010083,新北市板橋區,廣福里,0,0,0,4,3,1,2,2
10704,65000010084,新北市板橋區,華興里,0,0,0,2,2,0,1,0
10704,65000010085,新北市板橋區,華貴里,4,1,3,4,2,2,1,0
10704,65000010086,新北市板橋區,華德里,5,1,4,3,3,0,3,0
10704,65000010087,新北市板橋區,華東里,10,4,6,4,1,3,2,3
10704,65000010088,新北市板橋區,信義里,3,2,1,1,0,1,4,1
10704,65000010089,新北市板橋區,浮洲里,1,1,0,3,2,1,3,0
10704,65000010090,新北市板橋區,華中里,8,3,5,2,2,0,3,2
10704,65000010091,新北市板橋區,僑中里,8,6,2,0,0,0,1,1
10704,65000010092,新北市板橋區,中山里,3,2,1,4,4,0,2,0
10704,65000010093,新北市板橋區,復興里,0,0,0,4,4,0,0,0
10704,65000010094,新北市板橋區,大安里,6,3,3,2,2,0,1,2
10704,65000010095,新北市板橋區,福安里,0,0,0,2,1,1,1,0
10704,65000010096,新北市板橋區,聚安里,4,2,2,6,5,1,6,3
10704,65000010097,新北市板橋區,龍安里,2,0,2,1,1,0,1,0
10704,65000010098,新北市板橋區,崑崙里,3,2,1,4,2,2,4,2
10704,65000010099,新北市板橋區,溪洲里,4,1,3,1,1,0,3,1
10704,65000010100,新北市板橋區,溪北里,4,3,1,1,0,1,0,1
10704,65000010101,新北市板橋區,香雅里,0,0,0,0,0,0,1,0
10704,65000010102,新北市板橋區,新生里,5,4,1,2,0,2,1,3
10704,65000010103,新北市板橋區,文德里,2,1,1,1,1,0,2,2
10704,65000010104,新北市板橋區,文化里,5,4,1,0,0,0,2,1
10704,65000010105,新北市板橋區,新海里,4,0,4,2,1,1,5,1
10704,65000010106,新北市板橋區,莒光里,0,0,0,0,0,0,2,0
10704,65000010107,新北市板橋區,富貴里,0,0,0,2,1,1,0,1
10704,65000010108,新北市板橋區,正泰里,0,0,0,0,0,0,0,0
10704,65000010109,新北市板橋區,民生里,1,0,1,2,2,0,2,2
10704,65000010110,新北市板橋區,後埔里,2,2,0,1,1,0,1,0
10704,65000010111,新北市板橋區,華福里,1,0,1,1,1,0,1,0
10704,65000010112,新北市板橋區,堂春里,2,0,2,2,2,0,0,1
10704,65000010113,新北市板橋區,成和里,3,2,1,1,1,0,2,2
10704,65000010114,新北市板橋區,光榮里,1,0,1,2,2,0,2,0
10704,65000010115,新北市板橋區,民安里,1,1,0,1,0,1,0,0
10704,65000010116,新北市板橋區,陽明里,0,0,0,0,0,0,2,1
10704,65000010117,新北市板橋區,朝陽里,5,1,4,2,2,0,1,0
10704,65000010118,新北市板橋區,松柏里,0,0,0,0,0,0,0,0
10704,65000010119,新北市板橋區,文聖里,1,0,1,0,0,0,0,0
10704,65000010120,新北市板橋區,居仁里,1,1,0,1,1,0,3,0
10704,65000010121,新北市板橋區,莊敬里,4,2,2,0,0,0,1,1
10704,65000010122,新北市板橋區,東安里,0,0,0,0,0,0,0,0
10704,65000010123,新北市板橋區,五權里,5,2,3,5,3,2,0,0
10704,65000010124,新北市板橋區,溪福里,9,5,4,4,1,3,6,2
10704,65000010125,新北市板橋區,大觀里,3,3,0,0,0,0,2,2
10704,65000010126,新北市板橋區,歡園里,2,0,2,2,1,1,0,0
10704,65000020001,新北市三重區,大有里,3,0,3,1,1,0,2,0
10704,65000020002,新北市三重區,二重里,0,0,0,0,0,0,0,1
10704,65000020003,新北市三重區,頂崁里,1,1,0,0,0,0,1,0
10704,65000020004,新北市三重區,谷王里,0,0,0,2,1,1,0,0
10704,65000020005,新北市三重區,中興里,1,1,0,2,2,0,1,1
10704,65000020006,新北市三重區,德厚里,0,0,0,0,0,0,0,0
10704,65000020007,新北市三重區,成功里,1,1,0,4,3,1,3,0
10704,65000020008,新北市三重區,福祉里,2,0,2,4,1,3,0,1
10704,65000020009,新北市三重區,福民里,3,1,2,1,1,0,1,0
10704,65000020010,新北市三重區,過田里,3,2,1,10,7,3,4,3
10704,65000020011,新北市三重區,錦田里,3,1,2,0,0,0,0,0
10704,65000020012,新北市三重區,重明里,2,1,1,2,0,2,1,1
10704,65000020013,新北市三重區,光田里,2,2,0,2,1,1,4,2
10704,65000020014,新北市三重區,光陽里,4,2,2,5,4,1,2,2
10704,65000020015,新北市三重區,田心里,1,0,1,2,0,2,3,1
10704,65000020016,新北市三重區,福田里,1,1,0,1,1,0,1,1
10704,65000020017,新北市三重區,田中里,5,2,3,0,0,0,2,0
10704,65000020018,新北市三重區,田安里,3,0,3,1,1,0,2,1
10704,65000020019,新北市三重區,三民里,2,1,1,1,1,0,2,0
10704,65000020020,新北市三重區,光明里,3,2,1,6,2,4,2,1
10704,65000020021,新北市三重區,光正里,2,1,1,2,1,1,4,0
10704,65000020022,新北市三重區,同安里,2,2,0,1,0,1,0,1
10704,65000020023,新北市三重區,同慶里,0,0,0,1,1,0,0,0
10704,65000020024,新北市三重區,菜寮里,1,0,1,1,1,0,1,1
10704,65000020025,新北市三重區,永春里,2,2,0,2,2,0,3,0
10704,65000020026,新北市三重區,中正里,2,1,1,0,0,0,0,0
10704,65000020027,新北市三重區,吉利里,0,0,0,0,0,0,0,0
10704,65000020028,新北市三重區,大同里,1,0,1,1,1,0,2,0
10704,65000020029,新北市三重區,中民里,0,0,0,1,1,0,0,0
10704,65000020030,新北市三重區,平和里,0,0,0,3,2,1,0,0
10704,65000020031,新北市三重區,大安里,0,0,0,2,1,1,1,0
10704,65000020032,新北市三重區,仁德里,1,1,0,1,1,0,2,0
10704,65000020033,新北市三重區,忠孝里,3,1,2,2,1,1,1,0
10704,65000020034,新北市三重區,仁義里,1,1,0,0,0,0,0,0
10704,65000020035,新北市三重區,光榮里,1,1,0,0,0,0,0,1
10704,65000020036,新北市三重區,光輝里,0,0,0,0,0,0,1,0
10704,65000020037,新北市三重區,福星里,0,0,0,0,0,0,0,0
10704,65000020038,新北市三重區,福利里,0,0,0,1,1,0,3,0
10704,65000020039,新北市三重區,清和里,3,3,0,4,2,2,0,0
10704,65000020040,新北市三重區,永興里,0,0,0,2,0,2,1,0
10704,65000020041,新北市三重區,中山里,2,0,2,1,1,0,1,0
10704,65000020042,新北市三重區,大園里,0,0,0,0,0,0,2,1
10704,65000020043,新北市三重區,國隆里,2,0,2,2,0,2,1,2
10704,65000020044,新北市三重區,重陽里,0,0,0,4,2,2,0,0
10704,65000020045,新北市三重區,民生里,3,3,0,4,2,2,0,1
10704,65000020046,新北市三重區,重新里,2,1,1,2,2,0,0,0
10704,65000020047,新北市三重區,正德里,2,1,1,1,1,0,0,0
10704,65000020048,新北市三重區,正義里,0,0,0,0,0,0,2,0
10704,65000020049,新北市三重區,正安里,0,0,0,2,1,1,0,1
10704,65000020050,新北市三重區,自強里,2,0,2,2,0,2,2,0
10704,65000020051,新北市三重區,文化里,2,1,1,1,0,1,1,1
10704,65000020052,新北市三重區,中央里,0,0,0,3,1,2,1,0
10704,65000020053,新北市三重區,雙園里,0,0,0,0,0,0,0,0
10704,65000020054,新北市三重區,錦通里,1,1,0,1,1,0,1,0
10704,65000020055,新北市三重區,錦安里,0,0,0,1,0,1,1,1
10704,65000020056,新北市三重區,長安里,2,2,0,3,3,0,1,0
10704,65000020057,新北市三重區,光華里,2,0,2,2,1,1,0,0
10704,65000020058,新北市三重區,長生里,0,0,0,0,0,0,0,0
10704,65000020059,新北市三重區,開元里,0,0,0,2,2,0,1,0
10704,65000020060,新北市三重區,大德里,1,1,0,1,1,0,0,0
10704,65000020061,新北市三重區,長元里,3,1,2,1,1,0,0,1
10704,65000020062,新北市三重區,長江里,1,1,0,4,2,2,0,0
10704,65000020063,新北市三重區,長泰里,0,0,0,0,0,0,3,1
10704,65000020064,新北市三重區,長福里,0,0,0,0,0,0,0,0
10704,65000020065,新北市三重區,介壽里,0,0,0,0,0,0,1,1
10704,65000020066,新北市三重區,萬壽里,1,1,0,3,2,1,1,0
10704,65000020067,新北市三重區,錦江里,1,1,0,2,1,1,1,0
10704,65000020068,新北市三重區,龍濱里,2,2,0,2,1,1,0,2
